r1_code,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0
F1,0,0,0,0,0,0,0,0,0,0
F2,0,37,0,0,0,0,0,0,0,0
F3,0,0,0,0,0,0,0,0,0,0
F4,0,0,0,8,0,0,0,0,0,0
F5,0,0,1,0,2,0,0,0,0,0
F6,0,0,0,0,0,4,0,0,0,0
F7,0,0,0,7,0,0,5,0,0,0
F8,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0,26,0
F0,0,0,0,0,0,3,2,0,0,31
