arm,n,mean_ms,sd_ms,median_ms,p25_ms,p75_ms,min_ms,max_ms
gemini,54,27759.965185185178,16126.635913917795,27514.45,10513.0025,38539.090000000004,6534.97,61660.03
claude,54,69388.3024074074,42532.047951301516,65567.81,24092.995,103495.5225,15305.7,171287.84
baseline,18,0.013888888888888888,0.011950332945836275,0.01,0.01,0.01,0.01,0.06
